     8      8 
     0      0          0.208558487561864 
     0      1         -0.000000000000081 
     0      2          0.000000000000123 
     0      3          0.015441020845315 
     0      4          0.000000000000000 
     0      5         -0.009955153306205 
     0      6          0.000000000000268 
     0      7          0.008658300501439 
     1      0         -0.000000000000081 
     1      1          0.305739805565514 
     1      2          0.010251484288062 
     1      3         -0.000000000000463 
     1      4         -0.000000000000000 
     1      5          0.000000000000180 
     1      6          0.017823240544996 
     1      7          0.000000000000280 
     2      0          0.000000000000073 
     2      1          0.007995651069973 
     2      2          1.077266067677608 
     2      3          0.000000000000680 
     2      4         -0.000000000000000 
     2      5          0.000000000000190 
     2      6          0.008256726621249 
     2      7          0.000000000000016 
     3      0          0.011041678355019 
     3      1         -0.000000000000420 
     3      2          0.000000000000682 
     3      3          1.122478996448249 
     3      4          0.000000000000001 
     3      5         -0.006839503358140 
     3      6         -0.000000000000162 
     3      7          0.005081746685518 
     4      0          0.000000000000000 
     4      1         -0.000000000000000 
     4      2         -0.000000000000000 
     4      3          0.000000000000001 
     4      4          1.193591396420798 
     4      5          0.000000000000000 
     4      6         -0.000000000000000 
     4      7          0.000000000000000 
     5      0         -0.006012427429070 
     5      1          0.000000000000208 
     5      2          0.000000000000199 
     5      3         -0.006013248784251 
     5      4          0.000000000000000 
     5      5          1.234036010570432 
     5      6         -0.000000000000176 
     5      7          0.004297831092664 
     6      0          0.000000000000275 
     6      1          0.011665770265178 
     6      2          0.007480787093117 
     6      3         -0.000000000000156 
     6      4         -0.000000000000000 
     6      5         -0.000000000000166 
     6      6          1.389285140912392 
     6      7         -0.000000000000304 
     7      0          0.005801593532831 
     7      1          0.000000000000281 
     7      2          0.000000000000012 
     7      3          0.005105796627154 
     7      4          0.000000000000000 
     7      5          0.003663229358850 
     7      6         -0.000000000000310 
     7      7          1.685604882106696 
