     5      8      5      8 
     0      0      0      0          0.465730653047634 
     0      0      0      1          0.000000000000000 
     0      0      0      2          0.000000000002923 
     0      0      0      3          0.206470814736484 
     0      0      0      4         -0.000000000000006 
     0      0      0      5         -0.121410057140155 
     0      0      0      6         -0.000000000000407 
     0      0      0      7          0.201730013018203 
     0      0      1      0          0.001939230781680 
     0      0      1      1          0.000000000000000 
     0      0      1      2          0.000000000000040 
     0      0      1      3          0.002880927575260 
     0      0      1      4         -0.000000000000000 
     0      0      1      5         -0.002335760093104 
     0      0      1      6         -0.000000000000008 
     0      0      1      7          0.004211489517684 
     0      0      2      0          0.000000000000003 
     0      0      2      1         -0.005601255218421 
     0      0      2      2         -0.000698459777882 
     0      0      2      3          0.000000000000009 
     0      0      2      4          0.000000000000000 
     0      0      2      5          0.000000000000011 
     0      0      2      6         -0.007527398792264 
     0      0      2      7         -0.000000000000007 
     0      0      3      0          0.008737090671810 
     0      0      3      1          0.000000000000005 
     0      0      3      2          0.000000000000113 
     0      0      3      3          0.007897854214635 
     0      0      3      4         -0.000000000000000 
     0      0      3      5         -0.005958753574665 
     0      0      3      6         -0.000000000000020 
     0      0      3      7          0.008865493151558 
     0      0      4      0          0.000000000000000 
     0      0      4      1         -0.000000000000000 
     0      0      4      2         -0.000000000000000 
     0      0      4      3         -0.000000000000000 
     0      0      4      4         -0.009272723763598 
     0      0      4      5          0.000000000000000 
     0      0      4      6         -0.000000000000000 
     0      0      4      7          0.000000000000000 
     0      1      0      0         -0.000000000000030 
     0      1      0      1          0.490627982830028 
     0      1      0      2          0.153293299340765 
     0      1      0      3         -0.000000000002373 
     0      1      0      4         -0.000000000000002 
     0      1      0      5         -0.000000000000489 
     0      1      0      6          0.316893444951490 
     0      1      0      7          0.000000000000503 
     0      1      1      0         -0.000000000000000 
     0      1      1      1          0.003159276276377 
     0      1      1      2          0.002219298853332 
     0      1      1      3         -0.000000000000034 
     0      1      1      4         -0.000000000000000 
     0      1      1      5         -0.000000000000007 
     0      1      1      6          0.007776195419647 
     0      1      1      7          0.000000000000012 
     0      1      2      0         -0.005962705324039 
     0      1      2      1         -0.000000000000017 
     0      1      2      2         -0.000000000000050 
     0      1      2      3         -0.003050748021460 
     0      1      2      4          0.000000000000000 
     0      1      2      5         -0.002925260692567 
     0      1      2      6          0.000000000000001 
     0      1      2      7         -0.008400035611265 
     0      1      3      0          0.000000000000002 
     0      1      3      1          0.001439012281388 
     0      1      3      2         -0.001208428241142 
     0      1      3      3          0.000000000000021 
     0      1      3      4         -0.000000000000000 
     0      1      3      5         -0.000000000000009 
     0      1      3      6          0.002587093822256 
     0      1      3      7          0.000000000000001 
     0      1      4      0         -0.000000000000000 
     0      1      4      1          0.000000000000000 
     0      1      4      2          0.000000000000000 
     0      1      4      3         -0.000000000000000 
     0      1      4      4         -0.000000000000010 
     0      1      4      5         -0.000000000000000 
     0      1      4      6          0.000000000000000 
     0      1      4      7         -0.000000000000000 
     0      2      0      0          0.000000000002894 
     0      2      0      1          0.153251026894739 
     0      2      0      2          0.509714046609689 
     0      2      0      3          0.000000000001497 
     0      2      0      4          0.000000000000002 
     0      2      0      5         -0.000000000002202 
     0      2      0      6          0.139964393420568 
     0      2      0      7          0.000000000002455 
     0      2      1      0          0.000000000000039 
     0      2      1      1          0.002105769481002 
     0      2      1      2          0.000638250751982 
     0      2      1      3          0.000000000000026 
     0      2      1      4          0.000000000000000 
     0      2      1      5         -0.000000000000053 
     0      2      1      6          0.004173796051695 
     0      2      1      7          0.000000000000080 
     0      2      2      0         -0.001259331070606 
     0      2      2      1         -0.000000000000056 
     0      2      2      2         -0.000000000000222 
     0      2      2      3         -0.006937496265204 
     0      2      2      4          0.000000000000000 
     0      2      2      5         -0.002220264929665 
     0      2      2      6         -0.000000000000114 
     0      2      2      7         -0.003434673402119 
     0      2      3      0          0.000000000000113 
     0      2      3      1         -0.000868589233880 
     0      2      3      2          0.002273812073272 
     0      2      3      3          0.000000000000159 
     0      2      3      4          0.000000000000000 
     0      2      3      5         -0.000000000000070 
     0      2      3      6          0.002340691252136 
     0      2      3      7          0.000000000000129 
     0      2      4      0         -0.000000000000000 
     0      2      4      1          0.000000000000000 
     0      2      4      2          0.000000000000000 
     0      2      4      3         -0.000000000000000 
     0      2      4      4         -0.000000000000121 
     0      2      4      5         -0.000000000000000 
     0      2      4      6          0.000000000000000 
     0      2      4      7         -0.000000000000000 
     0      3      0      0          0.204019050463766 
     0      3      0      1         -0.000000000002361 
     0      3      0      2          0.000000000001502 
     0      3      0      3          0.623669081470376 
     0      3      0      4          0.000000000000006 
     0      3      0      5         -0.180452690730594 
     0      3      0      6         -0.000000000002491 
     0      3      0      7          0.146011163991036 
     0      3      1      0          0.002779529181467 
     0      3      1      1         -0.000000000000032 
     0      3      1      2          0.000000000000026 
     0      3      1      3          0.002901693823071 
     0      3      1      4          0.000000000000000 
     0      3      1      5         -0.005209051618135 
     0      3      1      6         -0.000000000000074 
     0      3      1      7          0.004348644996386 
     0      3      2      0          0.000000000000018 
     0      3      2      1         -0.002975662511784 
     0      3      2      2         -0.006633570984898 
     0      3      2      3          0.000000000000211 
     0      3      2      4          0.000000000000000 
     0      3      2      5          0.000000000000055 
     0      3      2      6         -0.006547783297326 
     0      3      2      7          0.000000000000043 
     0      3      3      0          0.007873246026820 
     0      3      3      1          0.000000000000018 
     0      3      3      2          0.000000000000158 
     0      3      3      3          0.012892581172399 
     0      3      3      4         -0.000000000000000 
