     8      8      8      8 
     0      0      0      0          0.335932093769731 
     0      0      0      1         -0.000000000000120 
     0      0      0      2          0.000000000000616 
     0      0      0      3          0.042607071597148 
     0      0      0      4         -0.000000000000001 
     0      0      0      5         -0.024992508765992 
     0      0      0      6         -0.000000000000052 
     0      0      0      7          0.017884414183432 
     0      0      1      0         -0.000000000000121 
     0      0      1      1          0.086000047648489 
     0      0      1      2         -0.010917354174818 
     0      0      1      3          0.000000000000201 
     0      0      1      4          0.000000000000000 
     0      0      1      5         -0.000000000000002 
     0      0      1      6          0.001832210789911 
     0      0      1      7          0.000000000000016 
     0      0      2      0          0.000000000000615 
     0      0      2      1         -0.010917354174818 
     0      0      2      2          0.014260003352192 
     0      0      2      3          0.000000000000362 
     0      0      2      4         -0.000000000000000 
     0      0      2      5         -0.000000000000173 
     0      0      2      6         -0.000757786617728 
     0      0      2      7          0.000000000000317 
     0      0      3      0          0.042607071597148 
     0      0      3      1          0.000000000000200 
     0      0      3      2          0.000000000000362 
     0      0      3      3          0.040846218701396 
     0      0      3      4         -0.000000000000001 
     0      0      3      5         -0.011811991909268 
     0      0      3      6         -0.000000000000039 
     0      0      3      7          0.022497398408478 
     0      0      4      0         -0.000000000000001 
     0      0      4      1          0.000000000000000 
     0      0      4      2         -0.000000000000000 
     0      0      4      3         -0.000000000000001 
     0      0      4      4          0.015598628514627 
     0      0      4      5          0.000000000000000 
     0      0      4      6          0.000000000000000 
     0      0      4      7         -0.000000000000001 
     0      0      5      0         -0.024992508765992 
     0      0      5      1         -0.000000000000002 
     0      0      5      2         -0.000000000000173 
     0      0      5      3         -0.011811991909268 
     0      0      5      4          0.000000000000000 
     0      0      5      5          0.021443881324807 
     0      0      5      6          0.000000000000032 
     0      0      5      7         -0.010625376458068 
     0      0      6      0         -0.000000000000052 
     0      0      6      1          0.001832210789911 
     0      0      6      2         -0.000757786617728 
     0      0      6      3         -0.000000000000040 
     0      0      6      4          0.000000000000000 
     0      0      6      5          0.000000000000032 
     0      0      6      6          0.017719449493449 
     0      0      6      7         -0.000000000000027 
     0      0      7      0          0.017884414183432 
     0      0      7      1          0.000000000000016 
     0      0      7      2          0.000000000000317 
     0      0      7      3          0.022497398408478 
     0      0      7      4         -0.000000000000001 
     0      0      7      5         -0.010625376458068 
     0      0      7      6         -0.000000000000027 
     0      0      7      7          0.028975526566421 
     0      1      0      0         -0.000000000000128 
     0      1      0      1          0.333026079453717 
     0      1      0      2          0.027764578244509 
     0      1      0      3         -0.000000000000430 
     0      1      0      4         -0.000000000000000 
     0      1      0      5         -0.000000000000098 
     0      1      0      6          0.031783332362312 
     0      1      0      7          0.000000000000086 
     0      1      1      0          0.087169819437276 
     0      1      1      1          0.000000000000107 
     0      1      1      2         -0.000000000000043 
     0      1      1      3         -0.000125671993737 
     0      1      1      4         -0.000000000000000 
     0      1      1      5         -0.002848144839483 
     0      1      1      6          0.000000000000002 
     0      1      1      7         -0.025906308136472 
     0      1      2      0         -0.010289329981309 
     0      1      2      1          0.000000000000561 
     0      1      2      2          0.000000000000572 
     0      1      2      3          0.010707943787498 
     0      1      2      4         -0.000000000000000 
     0      1      2      5          0.000971450927254 
     0      1      2      6          0.000000000000478 
     0      1      2      7          0.006194107487796 
     0      1      3      0          0.000000000000186 
     0      1      3      1          0.040608071920234 
     0      1      3      2          0.027130024461781 
     0      1      3      3         -0.000000000000608 
     0      1      3      4         -0.000000000000000 
     0      1      3      5         -0.000000000000096 
